Avon Middle High School,Gr.9,27,3,3,1,1,0,29,
Avon Middle High School,Gr.10,25,2,3,1,0,0,25,
Avon Middle High School,Gr.11,13,3,4,0,0,0,25,
Avon Middle High School,Gr.12,11,4,1,0,0,0,28,
Avon Middle High School,SP,***,***,***,***,***,***,***,
West Barnstable Elementary,K,15,1,5,4,0,0,40,
West Barnstable Elementary,Gr.1,1,1,8,3,0,0,53,
West Barnstable Elementary,Gr.2,5,0,3,5,0,0,52,
West Barnstable Elementary,Gr.3,1,1,3,3,0,0,75,
Centerville Elementary,K,2,2,7,0,1,0,70,
Centerville Elementary,PK,9,1,7,5,0,0,86,
Centerville Elementary,Gr.1,2,0,7,5,0,0,71,
Centerville Elementary,Gr.2,5,2,5,2,0,0,55,
Centerville Elementary,Gr.3,1,1,2,1,0,0,41,
Hyannis West Elementary,K,12,4,14,9,0,1,44,
Hyannis West Elementary,Gr.1,17,1,16,7,1,1,55,
Hyannis West Elementary,Gr.2,13,1,23,8,0,0,41,
Hyannis West Elementary,Gr.3,13,0,14,13,0,1,33,
West Villages Elementary School,K,17,6,7,5,1,1,68,
West Villages Elementary School,Gr.1,7,2,4,1,0,0,109,
West Villages Elementary School,Gr.2,2,3,4,4,0,0,99,
West Villages Elementary School,Gr.3,4,1,9,5,0,0,99,
Barnstable United Elementary School,Gr.4,29,7,21,17,2,0,299,
Barnstable United Elementary School,Gr.5,26,6,33,18,4,2,303,
Barnstable Intermediate School,Gr.6,28,14,26,11,5,1,290,
Barnstable Intermediate School,Gr.7,21,21,9,15,4,2,313,
Barnstable High,Gr.8,20,11,31,13,4,2,312,
Barnstable High,Gr.9,34,11,35,20,7,0,294,
Barnstable High,Gr.10,18,13,27,16,5,0,299,
Barnstable High,Gr.11,21,11,26,12,4,2,305,
Barnstable High,Gr.12,11,6,17,11,2,1,290,
Barnstable High,SP,0,0,0,1,0,0,12,
Lt Elezer Davis,K,17,31,6,7,0,0,141,
Lt Elezer Davis,Gr.1,12,18,10,2,0,0,129,
Lt Elezer Davis,Gr.2,11,20,9,8,0,0,121,
Lt Job Lane School,Gr.3,15,28,10,4,0,0,116,
Lt Job Lane School,Gr.4,18,29,10,5,3,0,141,
Lt Job Lane School,Gr.5,7,12,14,6,1,0,114,
John Glenn Middle,Gr.6,14,22,9,6,1,0,131,
John Glenn Middle,Gr.7,13,16,8,14,0,1,128,
John Glenn Middle,Gr.8,15,28,13,3,0,0,140,
Bedford High,PK,1,1,0,1,0,0,31,
Bedford High,Gr.9,13,24,8,13,0,0,173,
Bedford High,Gr.10,17,16,15,7,1,0,155,
Bedford High,Gr.11,25,28,12,6,2,0,165,
Bedford High,Gr.12,15,29,15,4,2,0,123,
Cold Spring,K,0,3,5,4,0,0,153,
Cold Spring,PK,2,1,1,0,0,0,24,
Chestnut Hill Community School,Gr.4,0,3,6,2,0,1,161,
Chestnut Hill Community School,Gr.5,0,3,5,4,0,0,181,
